notes,has_complication,ssn,hospital
normal risk,False,853-33-0225,AK
normal risk,False,210-87-4597,AZ
normal risk,False,197-46-6218,AL
normal risk,False,830-03-3588,AR
high risk,True,773-91-5333,AR
high risk,False,019-49-8989,AL
high risk,False,128-60-9189,AZ
high risk,False,838-65-2829,AZ
high risk,False,105-18-6120,AZ
high risk,False,219-68-8651,AL
normal risk,True,832-35-3597,AR
high risk,False,609-53-0006,AK
high risk,False,024-89-4796,AZ
high risk,False,445-02-7639,AK
high risk,False,890-95-6517,AZ
high risk,False,289-69-9589,AL
high risk,False,492-34-3576,AK
normal risk,False,097-54-8840,AR
high risk,False,674-81-1032,AZ
high risk,False,412-41-9114,AK
high risk,True,547-87-6835,AR
high risk,False,475-97-9265,AL
high risk,True,544-14-1762,AL
normal risk,False,251-55-9287,AL
high risk,False,811-48-7562,AR
high risk,False,258-96-1873,AR
high risk,True,704-79-2311,AK
high risk,False,035-12-9008,AZ
normal risk,True,451-17-6175,AZ
high risk,False,781-71-4812,AR
high risk,False,016-37-5385,AZ
normal risk,False,033-93-4506,AL
high risk,True,809-89-8278,AK
high risk,False,131-95-9002,AR
normal risk,False,625-88-6175,AK
high risk,False,022-64-3316,AL
high risk,False,209-41-4916,AL
high risk,True,021-20-4153,AR
normal risk,True,265-39-7327,AL
high risk,True,626-51-3872,AZ
high risk,False,265-15-6123,AR
high risk,False,644-85-4676,AK
high risk,True,377-18-1521,AL
high risk,False,502-29-0252,AK
high risk,True,156-17-1627,AK
high risk,False,637-64-7578,AR
high risk,False,863-80-7665,AK
normal risk,False,265-50-1693,AK
high risk,False,167-26-0669,AL
high risk,False,263-80-3091,AK
high risk,True,698-88-1538,AL
high risk,True,514-91-0105,AL
high risk,False,580-76-3334,AK
normal risk,True,784-39-6667,AZ
high risk,False,614-23-7188,AL
normal risk,False,800-64-3393,AZ
high risk,False,781-52-1867,AK
normal risk,False,452-06-2532,AZ
high risk,False,597-66-6856,AK
normal risk,False,223-21-6922,AK
high risk,False,276-68-8871,AR
high risk,False,324-47-7165,AZ
high risk,False,374-07-5217,AL
high risk,True,629-27-0985,AK
high risk,True,533-64-6908,AR
normal risk,False,808-89-2288,AL
normal risk,False,550-77-8521,AL
high risk,False,634-51-6574,AL
high risk,False,791-66-1561,AR
normal risk,False,494-18-0454,AZ
high risk,True,217-64-7363,AZ
normal risk,False,736-14-5738,AR
high risk,False,845-15-2600,AZ
high risk,False,206-80-9249,AZ
high risk,False,805-46-9471,AZ
normal risk,True,735-45-3621,AZ
normal risk,False,169-41-3561,AL
high risk,False,481-66-8989,AZ
normal risk,True,813-26-1032,AL
high risk,False,174-30-9255,AZ
high risk,False,063-10-9540,AL
high risk,False,649-82-5242,AK
normal risk,False,887-03-6860,AL
high risk,True,662-74-5419,AR
high risk,False,349-71-5454,AR
high risk,False,463-49-1000,AL
normal risk,False,157-91-4457,AZ
high risk,False,711-37-4438,AR
high risk,False,323-68-7180,AR
normal risk,True,825-46-5200,AZ
high risk,False,892-25-3055,AK
normal risk,False,629-89-1978,AK
normal risk,False,604-09-0168,AZ
high risk,True,242-31-6209,AR
high risk,False,454-03-3489,AK
high risk,False,291-77-9472,AZ
high risk,True,108-66-4530,AK
normal risk,False,007-06-1051,AZ
normal risk,False,741-62-3031,AK
normal risk,False,187-20-5748,AZ
normal risk,True,051-70-5072,AZ
high risk,False,764-46-5278,AR
high risk,False,097-90-3640,AZ
normal risk,True,709-39-7042,AK
normal risk,True,645-26-2699,AL
high risk,False,302-13-9610,AK
high risk,False,803-35-2301,AR
high risk,True,532-25-4549,AR
high risk,False,517-39-3849,AR
high risk,False,501-58-6917,AK
normal risk,False,015-44-5056,AK
high risk,False,087-23-8877,AL
normal risk,True,481-59-5128,AL
high risk,True,763-30-3084,AZ
high risk,False,167-88-8572,AZ
high risk,False,778-02-4625,AZ
high risk,True,845-04-1426,AL
high risk,False,170-40-1135,AZ
normal risk,True,091-86-1407,AR
high risk,True,408-87-3980,AK
high risk,True,045-32-2492,AZ
normal risk,True,123-19-3227,AL
normal risk,False,765-71-7921,AK
high risk,False,724-01-8387,AZ
high risk,False,788-01-8020,AL
high risk,False,435-16-1286,AZ
high risk,True,505-70-7576,AZ
high risk,False,519-41-0212,AL
high risk,False,213-71-3762,AL
high risk,False,598-75-1372,AR
high risk,False,622-27-6913,AK
high risk,False,333-40-9046,AZ
high risk,False,219-33-0713,AL
high risk,False,727-52-9815,AZ
high risk,False,053-39-4798,AK
high risk,False,341-50-0649,AL
high risk,False,621-70-7264,AL
high risk,True,716-38-6952,AL
high risk,False,417-52-0899,AL
normal risk,True,826-21-0297,AR
high risk,False,479-51-2567,AZ
high risk,False,136-48-7550,AL
high risk,False,678-49-1834,AL
high risk,True,426-40-3660,AZ
high risk,False,185-04-1255,AL
high risk,False,016-09-7254,AR
high risk,False,578-58-0219,AZ
high risk,False,309-64-6124,AK
high risk,False,775-68-9580,AK
high risk,True,638-79-4758,AR
high risk,False,647-29-1656,AR
normal risk,True,075-45-6929,AR
high risk,False,865-03-7155,AR
high risk,False,122-75-4908,AL
normal risk,True,267-45-4849,AR
high risk,False,619-33-4373,AZ
high risk,False,214-72-4986,AK
high risk,False,746-38-8513,AR
normal risk,True,380-06-4966,AL
high risk,True,672-80-7280,AL
high risk,False,054-82-6441,AK
high risk,False,037-92-2433,AK
normal risk,False,173-08-6287,AK
high risk,False,302-93-6390,AL
high risk,True,843-80-6834,AK
normal risk,False,149-07-0144,AL
high risk,False,114-75-0052,AZ
high risk,False,704-19-4969,AL
normal risk,False,141-40-2765,AL
normal risk,False,101-27-1524,AK
normal risk,False,089-73-4026,AK
high risk,False,326-03-9608,AK
high risk,False,664-80-6474,AR
high risk,False,373-11-5916,AL
high risk,False,281-28-2493,AK
normal risk,False,743-83-0282,AK
normal risk,True,279-84-1487,AL
normal risk,False,082-21-8595,AZ
normal risk,False,514-48-4956,AZ
high risk,False,343-28-8849,AZ
high risk,True,850-66-9155,AK
normal risk,False,476-92-5170,AR
high risk,False,614-67-2874,AK
high risk,True,823-17-4727,AK
high risk,False,302-27-5813,AZ
high risk,True,335-99-8969,AZ
high risk,False,263-10-6911,AR
normal risk,False,078-97-5321,AK
high risk,False,671-58-9433,AR
high risk,False,261-89-2422,AZ
normal risk,False,763-69-2239,AR
normal risk,False,446-93-0809,AL
high risk,False,580-83-3165,AR
high risk,False,048-11-3437,AL
high risk,False,008-22-1883,AZ
high risk,False,236-73-5502,AK
normal risk,False,812-58-1188,AR
normal risk,False,700-11-8637,AZ
normal risk,True,569-79-9915,AL
high risk,False,260-05-2199,AK
high risk,False,370-28-1876,AK
normal risk,True,618-61-2430,AK
normal risk,False,325-78-6612,AK
high risk,True,061-11-0066,AK
high risk,True,550-04-4966,AR
normal risk,True,432-41-0780,AK
normal risk,False,593-46-8138,AK
high risk,False,596-57-4866,AK
high risk,False,746-90-7361,AR
high risk,False,180-79-8189,AZ
high risk,True,225-39-5141,AK
high risk,True,111-39-0636,AK
high risk,True,349-23-6364,AZ
high risk,False,697-21-8571,AR
normal risk,True,837-80-7214,AZ
high risk,False,507-91-7209,AK
high risk,False,853-61-8698,AL
high risk,False,363-44-4002,AK
normal risk,False,596-31-3403,AZ
normal risk,False,435-91-2183,AL
high risk,False,403-97-6512,AL
high risk,False,788-17-5054,AL
high risk,False,095-75-2570,AK
high risk,False,102-73-7477,AL
normal risk,False,058-44-7579,AL
high risk,False,586-22-4044,AK
normal risk,False,556-37-2038,AK
normal risk,True,381-75-1339,AL
normal risk,False,077-60-7196,AK
high risk,True,232-49-9507,AK
high risk,True,684-19-6556,AK
normal risk,False,063-72-1379,AZ
high risk,True,345-26-0546,AZ
high risk,False,375-99-6928,AL
high risk,True,455-65-9424,AZ
high risk,False,483-39-0365,AK
high risk,False,694-26-8624,AL
high risk,False,729-58-4745,AK
high risk,False,564-81-0708,AK
high risk,False,843-83-5829,AZ
normal risk,False,630-99-0275,AK
high risk,False,429-04-6059,AZ
high risk,False,468-39-1074,AR
normal risk,False,327-35-2952,AK
normal risk,False,609-78-5323,AZ
high risk,True,742-96-3160,AL
normal risk,False,018-58-6097,AK
high risk,False,161-72-4274,AL
high risk,True,461-89-2024,AK
high risk,False,077-78-6987,AL
high risk,True,512-27-7128,AK
high risk,False,007-79-8871,AZ
high risk,False,627-22-2156,AR
normal risk,True,867-03-9211,AL
high risk,False,654-35-0490,AZ
high risk,False,235-54-7900,AL
high risk,False,068-22-7195,AZ
normal risk,False,097-11-1235,AZ
high risk,False,754-89-5866,AZ
high risk,True,647-85-7332,AK
high risk,False,529-17-3685,AZ
normal risk,False,025-09-1697,AZ
high risk,False,414-87-6021,AZ
high risk,False,339-23-0733,AR
high risk,False,247-23-3996,AK
normal risk,True,509-37-9166,AR
high risk,False,851-13-4982,AL
high risk,True,346-61-3637,AK
high risk,False,422-08-6656,AK
normal risk,True,179-55-7823,AZ
high risk,False,186-18-9427,AL
normal risk,False,790-59-0411,AZ
high risk,False,564-62-0502,AK
normal risk,False,391-05-6571,AZ
normal risk,False,513-30-0094,AL
normal risk,False,240-36-5405,AK
normal risk,False,274-54-2829,AK
high risk,False,071-84-3531,AR
normal risk,False,375-46-6680,AL
normal risk,True,352-42-4842,AZ
high risk,True,869-51-2379,AL
high risk,False,297-67-1263,AR
high risk,False,256-37-7844,AL
normal risk,False,024-46-3543,AL
high risk,True,648-68-6118,AR
high risk,False,069-35-6083,AR
high risk,False,525-54-2596,AK
high risk,False,138-30-9248,AZ
high risk,False,600-44-5001,AR
high risk,False,539-76-2247,AL
high risk,False,094-27-9399,AR
high risk,False,177-50-3761,AR
high risk,False,293-64-5286,AZ
high risk,False,552-53-4390,AL
high risk,False,711-53-3695,AL
normal risk,False,377-15-6992,AL
high risk,False,221-79-0696,AL
high risk,True,840-70-4068,AK
high risk,False,256-14-8823,AZ
normal risk,False,835-19-0388,AL
normal risk,False,025-56-3898,AK
high risk,False,695-22-5062,AK
high risk,True,615-13-3387,AL
normal risk,False,007-53-1980,AL
high risk,True,806-66-1603,AR
normal risk,False,313-28-2198,AZ
high risk,False,405-70-0262,AK
normal risk,False,881-67-2655,AL
normal risk,True,678-84-1756,AR
high risk,False,698-41-9906,AR
high risk,False,701-75-6240,AR
high risk,False,325-89-1993,AK
normal risk,False,265-38-6318,AR
normal risk,False,058-17-4940,AZ
high risk,False,659-53-7636,AR
high risk,False,060-46-7899,AK
normal risk,True,127-61-3203,AK
high risk,False,334-35-3254,AZ
high risk,False,878-57-9013,AZ
high risk,False,206-59-4521,AZ
normal risk,False,704-30-4801,AK
high risk,False,476-97-1086,AK
high risk,False,605-87-8368,AR
high risk,False,814-49-5740,AK
normal risk,False,167-64-0775,AL
normal risk,True,192-64-5838,AK
high risk,False,899-61-7633,AL
high risk,False,211-74-9587,AR
normal risk,False,810-28-5910,AL
high risk,False,667-96-2760,AZ
high risk,False,667-42-4565,AR
high risk,False,332-48-0158,AZ
high risk,False,883-55-9335,AR
high risk,False,500-46-5290,AL
high risk,False,546-96-7154,AK
high risk,False,672-14-8990,AK
high risk,False,728-91-5940,AZ
high risk,False,894-37-2264,AZ
high risk,True,488-40-3370,AZ
high risk,False,222-44-7881,AK
high risk,True,218-32-9646,AK
normal risk,False,857-78-3487,AR
high risk,False,242-34-0867,AK
normal risk,False,516-61-0765,AL
normal risk,False,700-39-4881,AL
high risk,False,673-59-2838,AK
normal risk,False,294-73-1718,AZ
high risk,False,624-95-3607,AZ
high risk,False,302-62-6989,AK
high risk,False,356-17-7397,AK
normal risk,True,434-81-5231,AL
high risk,False,715-25-3132,AK
normal risk,False,332-23-5050,AR
high risk,False,282-58-5037,AZ
normal risk,False,455-93-6153,AL
normal risk,False,738-74-1837,AL
high risk,False,297-71-9556,AL
high risk,False,295-25-3946,AR
high risk,False,862-59-6692,AL
normal risk,True,241-26-8141,AK
high risk,False,760-05-0549,AZ
high risk,False,855-88-1052,AZ
high risk,False,838-86-4357,AR
high risk,True,453-37-0622,AK
normal risk,False,211-87-6966,AK
normal risk,False,435-16-0932,AR
high risk,False,824-99-8370,AK
high risk,False,324-10-5934,AK
high risk,False,761-23-7389,AR
high risk,False,115-38-4072,AR
high risk,True,708-90-4266,AR
high risk,False,158-81-9115,AR
high risk,False,133-55-8069,AR
high risk,True,887-58-5524,AZ
high risk,False,813-02-7231,AL
normal risk,False,260-06-7098,AK
high risk,False,509-86-4796,AL
high risk,False,643-61-0333,AZ
high risk,True,796-17-1493,AK
normal risk,False,343-77-1483,AZ
high risk,True,213-28-6220,AZ
normal risk,True,456-50-5785,AL
normal risk,True,004-78-8021,AZ
normal risk,False,092-96-0551,AK
high risk,False,564-76-3887,AL
high risk,False,702-14-4507,AZ
high risk,False,329-94-9097,AK
high risk,False,233-98-3033,AL
normal risk,False,021-19-6087,AL
high risk,False,026-91-9300,AK
high risk,True,126-58-1597,AZ
normal risk,False,428-91-2940,AL
normal risk,False,533-54-2584,AR
high risk,True,224-67-3533,AR
high risk,False,335-69-9738,AL
high risk,True,444-48-7761,AK
high risk,False,257-09-1748,AZ
high risk,False,047-76-9476,AR
high risk,True,322-10-6159,AZ
high risk,True,146-45-6235,AK
high risk,False,293-43-9956,AR
high risk,False,509-16-5905,AZ
high risk,False,280-81-6256,AK
high risk,False,156-39-4352,AL
high risk,False,653-10-4707,AK
normal risk,False,206-95-3860,AL
high risk,False,385-28-4849,AK
normal risk,False,103-52-5386,AZ
normal risk,False,064-32-7275,AK
high risk,False,834-91-6707,AK
high risk,False,349-34-1937,AK
high risk,False,227-53-7844,AR
high risk,False,192-10-6018,AZ
high risk,False,242-33-0605,AZ
normal risk,False,869-55-0087,AZ
high risk,False,295-35-8857,AZ
high risk,False,362-72-9945,AL
high risk,False,893-99-7302,AZ
high risk,False,433-25-9560,AL
high risk,True,294-42-8824,AR
high risk,False,091-59-2610,AR
high risk,True,622-40-4873,AL
high risk,False,583-71-5384,AL
normal risk,False,661-49-1511,AZ
normal risk,False,487-02-7014,AR
high risk,True,271-71-9080,AL
high risk,True,766-27-8902,AR
high risk,False,305-52-8340,AR
high risk,False,287-60-4522,AR
high risk,False,030-98-9731,AK
normal risk,True,840-82-8830,AK
normal risk,True,430-39-2354,AL
high risk,False,403-28-6974,AL
high risk,False,701-39-5057,AL
high risk,False,503-35-5426,AR
high risk,False,760-12-0155,AR
high risk,False,593-79-5436,AL
normal risk,False,751-10-7495,AZ
normal risk,True,462-04-1188,AK
high risk,False,229-59-4352,AR
high risk,False,627-92-9201,AR
high risk,False,872-36-3801,AR
high risk,False,575-21-4421,AL
high risk,False,357-27-9310,AK
high risk,False,455-33-7786,AL
normal risk,False,373-79-8868,AZ
high risk,False,520-55-4567,AZ
high risk,False,311-79-9634,AZ
high risk,True,271-34-5128,AZ
high risk,False,068-94-0924,AL
normal risk,False,756-95-9399,AR
high risk,False,570-91-7538,AR
normal risk,False,316-77-7005,AR
high risk,False,165-38-8162,AL
high risk,False,179-79-3572,AR
high risk,False,217-47-9080,AZ
high risk,False,131-05-1204,AZ
high risk,False,827-03-6161,AZ
high risk,False,275-11-9989,AK
high risk,False,059-12-1398,AR
high risk,False,431-29-4677,AZ
high risk,True,513-10-9658,AR
normal risk,False,450-10-1490,AL
high risk,False,093-72-6522,AK
high risk,False,033-27-1267,AK
normal risk,True,891-67-2472,AR
high risk,False,621-77-4831,AR
high risk,False,691-23-3155,AR
high risk,False,095-02-2134,AL
high risk,False,767-03-4224,AL
high risk,False,604-43-1142,AR
high risk,True,376-26-5957,AK
normal risk,False,450-79-0549,AZ
normal risk,True,685-51-4035,AK
high risk,True,300-65-9284,AR
high risk,False,236-88-1885,AR
high risk,False,601-06-5592,AR
high risk,False,031-97-1572,AK
high risk,False,713-80-5164,AR
high risk,True,194-11-0551,AR
