smokes,weight,gave_consent,ssn
no,57.98341830412999,True,844-25-3185
no,62.741663157827546,True,704-22-1415
no,81.73846816241817,True,291-52-4957
no,58.33552143345234,True,554-60-6241
no,77.18224566942787,False,371-22-8266
yes,71.09854327546942,True,761-31-5342
yes,81.13481270935448,True,423-64-3297
no,74.23670445374523,True,763-29-0394
no,84.64247606449092,True,365-08-4223
yes,61.95273301921088,True,150-03-7624
yes,62.44978177964352,True,549-17-1249
no,59.754158844520006,True,507-92-5357
no,72.06639342699043,True,364-67-4875
no,83.76615651213052,True,569-35-4423
no,75.82674343862145,True,551-95-3473
yes,58.36912685741176,True,786-90-9896
yes,78.75783972809576,True,032-13-6343
no,58.14688005600895,True,639-32-9589
no,62.08417954484519,True,877-73-9660
no,83.75080303878954,True,442-78-5069
yes,80.93031208574749,True,473-55-0325
yes,86.57091076106443,True,695-33-7973
no,82.98255379434622,True,674-07-4683
no,61.908948148192316,True,750-50-8526
no,59.4463251211892,True,366-71-6328
no,65.2282825628772,True,849-93-8900
no,60.16630503986644,True,637-66-7309
yes,79.63618073249106,True,421-85-7315
no,57.18554215772069,True,280-58-9098
yes,73.80464218702603,True,080-56-1076
no,59.95825779011018,True,566-50-9854
yes,80.26564998367468,True,699-28-3018
no,60.62818436260777,True,768-21-2182
yes,58.221341988483225,True,379-17-3522
yes,57.337383100174996,False,227-37-9858
no,60.66465501908334,True,328-85-7626
yes,89.55379713638591,True,148-32-7923
no,83.93982341568807,True,054-51-6326
no,84.6389966977657,True,657-34-0973
yes,85.49400387947871,True,369-69-5603
no,80.60585902665771,True,710-74-9885
no,60.89695180662614,True,461-48-2573
no,81.99662718489787,True,247-91-1205
no,62.00546450761742,True,321-70-7499
yes,85.90972052999616,True,011-10-7806
no,81.95685724210965,True,447-45-7272
no,60.843938400375734,True,204-04-6728
no,60.00170517860328,True,298-67-9577
no,61.24676852731685,True,136-61-1348
yes,81.49279689445261,True,114-34-0924
no,80.11778805196276,True,526-54-0602
yes,58.01931149386716,True,154-20-0758
yes,81.30298495815727,True,196-12-1206
no,61.07879632319511,True,775-22-3659
no,68.01248011930592,True,549-79-0349
no,87.7051499163897,True,303-57-2225
no,58.1525444422639,True,485-11-4014
yes,60.77398902193665,True,698-97-4280
no,61.581139352864895,True,021-54-9608
